team,player,Tower Kills,Creep Score,Death,Madstone,GPM,Kills,Teamfight,Roshan Kills,Stuns,Tormentor Kills,Courier Kills,First Blood
Aurora Gaming,"Nightfall, Ws`",1307.4,2642.0,2535.0,436.4,2660.0,1475.0,2654.4,1423.2,715.6,1255.8,451.8,138.0
BoomBoys,"Kiritych~, MieRo",1282.2,2999.0,2395.6,457.8,2669.8,1322.2,2765.0,1339.4,818.2,1318.4,150.6,414.4
GamerLegion,"Ghost, Fayde",1357.8,2800.0,2312.2,516.2,2493.4,1146.4,2379.4,1339.6,709.0,627.8,301.4,414.4
HULIGANI,"ssnovv1, Corrupted",1337.6,3151.2,2184.0,500.4,2578.6,706.2,2518.6,1172.0,579.2,966.8,210.8,386.8
Iron Wing,"Pure, 33",1562.0,3008.6,2254.6,520.8,2767.6,1611.6,2677.6,1465.0,415.6,1318.4,395.6,1087.8
LGD Gaming,"Yuma, Wisper",1276.0,3819.6,2108.4,544.4,2905.0,1792.4,2856.0,1245.2,725.6,1922.8,483.4,604.4
Nigma Galaxy ,"SumaiL-, Davai",1689.6,3561.0,1833.0,499.2,2844.2,1712.0,2763.0,1523.6,521.4,703.2,351.6,193.4
OG,"Natsumi, Raven",1024.0,2772.0,1967.6,456.2,2318.8,1011.6,2547.6,1491.6,377.6,1598.2,511.4,703.2
TEAM VISION,"Satanic, Noticed",2076.8,3922.8,3003.0,591.6,3196.6,1926.0,2867.4,1289.2,495.8,439.6,211.0,580.2
Team Falcons,"skiter, AMMAR_THE_F",1470.2,3275.0,2030.2,559.0,2776.8,1359.6,2521.2,1447.6,646.2,1913.0,496.2,341.4
Team Liquid,"m1CKe, Ace ♠",1559.0,2813.6,2507.2,485.8,2636.2,1368.0,2372.0,1255.8,784.4,2448.6,251.0,552.6
Team Resilience,"YSR-04E, niu",1276.0,2781.0,1767.0,452.6,2529.0,1631.8,2548.0,1318.4,679.2,1868.0,263.6,483.6
Team Spirit,"Yatoro, Collapse",1735.0,3298.4,2340.0,527.6,2881.8,1559.0,2558.2,1172.0,1045.0,2260.2,552.4,414.4
Team Yandex,"医者watson`, DM",1159.6,2785.2,2603.8,461.0,2705.2,1214.8,2493.6,896.2,525.0,465.4,537.6,455.0
Vici Gaming,"shiro, Bach",1433.0,3124.2,2145.0,446.6,2517.6,1016.4,2823.4,1088.2,521.8,1193.0,251.0,138.0
Xtreme Gaming,"Ame, Xxs",1056.0,2971.8,2357.6,479.8,2497.6,982.4,2511.0,852.4,607.6,479.4,191.6,0.0
