team,crimson,azure,emerald,purple,golden,elemental,otherworldly,heroic
Aurora Gaming,50.0,0.0,28.57,7.14,0.0,64.29,57.14,14.29
BoomBoys,50.0,21.43,7.14,14.29,0.0,50.0,7.14,7.14
GamerLegion,21.43,7.14,21.43,7.14,21.43,42.86,50.0,21.43
HULIGANI,40.0,20.0,0.0,10.0,10.0,50.0,40.0,20.0
Iron Wing,31.25,12.5,31.25,0.0,25.0,31.25,56.25,6.25
LGD Gaming,50.0,6.25,18.75,12.5,6.25,43.75,12.5,18.75
Nigma Galaxy ,40.0,30.0,20.0,10.0,0.0,50.0,60.0,10.0
OG,54.55,9.09,9.09,9.09,27.27,45.45,27.27,0.0
TEAM VISION,40.0,0.0,50.0,10.0,0.0,40.0,60.0,0.0
Team Falcons,47.06,17.65,17.65,0.0,17.65,29.41,29.41,0.0
Team Liquid,42.86,14.29,35.71,0.0,0.0,50.0,64.29,7.14
Team Resilience,18.75,12.5,18.75,0.0,25.0,37.5,31.25,25.0
Team Spirit,35.71,21.43,21.43,14.29,0.0,57.14,42.86,7.14
Team Yandex,35.29,5.88,29.41,0.0,11.76,35.29,29.41,23.53
Vici Gaming,50.0,28.57,14.29,0.0,7.14,14.29,35.71,7.14
Xtreme Gaming,45.45,36.36,0.0,0.0,18.18,36.36,27.27,9.09
