team,player,Tower Kills,Creep Score,Death,Madstone,GPM,Kills,Teamfight,Roshan Kills,Stuns,Tormentor Kills,Courier Kills,First Blood,OBS Wards Planted,Watcher Taken,Camps Stacked,Runes Grabbed,Smokes Used,Lotuses Gained
Aurora Gaming,Mikoto,553.2,2319.8,2395.8,299.0,2490.6,1712.0,3009.6,669.8,842.8,1381.2,200.8,828.8,501.4,462.0,735.4,2900.6,0.0,0.0
BoomBoys,gpk~,905.2,2811.8,2674.2,404.8,2460.2,1574.4,3014.0,837.2,942.8,1632.4,703.0,0.0,417.8,336.0,1404.0,2759.6,0.0,0.0
GamerLegion,RCY,905.2,2518.2,2702.2,235.8,2481.2,1589.8,3041.0,669.8,981.0,251.2,301.2,276.2,384.4,378.0,768.8,2135.2,0.0,0.0
HULIGANI,Mirage`雨,422.4,2568.6,2145.0,343.2,2252.0,1027.2,2944.8,937.6,979.2,1054.8,140.6,0.0,421.2,382.2,748.8,2820.0,410.2,0.0
Iron Wing,bzm,792.0,2618.6,2340.0,260.0,2617.8,1605.0,3017.6,732.4,978.6,1098.8,175.8,0.0,336.4,918.8,1345.6,3525.0,0.0,0.0
LGD Gaming,Topson,1320.0,3132.8,2096.2,325.0,2610.4,1564.8,3003.6,1465.0,1011.2,1977.8,351.6,241.8,307.2,459.4,760.4,3577.8,73.2,0.0
Nigma Galaxy ,lorenof,1760.0,3825.0,2457.0,460.2,3081.2,2503.8,3206.2,2109.6,911.2,351.6,421.8,386.8,351.0,58.8,936.0,3525.0,0.0,0.0
OG,Yopaj-,256.0,2387.4,2233.6,321.4,2159.0,1245.0,2794.6,426.2,1069.8,1278.6,0.0,0.0,489.2,401.0,978.6,2717.4,213.0,0.0
TEAM VISION,No[o]ne-,492.8,2727.0,2262.0,332.8,2548.4,1990.2,2889.0,703.2,843.2,527.4,140.6,0.0,327.6,1528.8,889.2,3722.4,0.0,0.0
Team Falcons,Malr1ne,1408.0,2820.0,2363.0,345.6,2630.8,1926.0,2910.0,965.2,625.6,1964.8,413.6,910.2,385.4,639.8,1073.6,2786.8,69.0,0.0
Team Liquid,Nisha,603.4,2325.0,2535.0,256.2,2477.8,1941.2,3120.8,167.4,871.2,1506.8,301.2,0.0,300.8,735.0,1236.8,3363.8,0.0,0.0
Team Resilience,Echozz,704.0,2335.8,2193.8,303.8,2323.6,1551.6,3113.6,439.6,1495.8,1318.4,439.4,0.0,336.4,1029.0,789.8,2820.0,36.6,0.0
Team Spirit,Larl,502.8,2482.8,1699.2,267.4,2350.8,1650.8,2900.6,669.8,1009.0,2260.2,100.4,276.2,167.2,1029.0,501.4,2961.0,41.8,0.0
Team Yandex,CHIRA_JUNIOR,621.2,2073.8,2294.2,244.8,2267.6,1523.2,2794.2,413.6,738.4,517.0,413.6,227.6,385.4,467.0,743.2,1741.8,34.4,0.0
Vici Gaming,Xm,251.4,2913.4,2061.4,386.2,2378.0,947.8,3188.8,502.2,606.4,1004.6,401.8,552.6,417.8,1050.0,568.2,2598.4,0.0,0.0
Xtreme Gaming,NothingToSay,384.0,2186.8,2269.0,274.2,2142.2,1186.8,2832.0,426.2,641.0,639.2,383.4,0.0,297.8,668.2,1106.2,2102.2,53.2,0.0
