team,crimson,azure,emerald,purple,golden,elemental,otherworldly,heroic
Aurora Gaming,28.57,46.43,32.14,14.29,14.29,39.29,10.71,10.71
BoomBoys,10.71,17.86,42.86,10.71,35.72,10.71,21.43,17.86
GamerLegion,10.71,46.42,39.29,21.43,3.57,21.43,7.14,10.71
HULIGANI,10.0,10.0,45.0,10.0,20.0,30.0,10.0,5.0
Iron Wing,21.88,6.25,43.75,21.88,28.12,12.5,15.62,9.38
LGD Gaming,12.5,25.0,37.5,18.75,15.62,15.62,12.5,18.75
Nigma Galaxy ,25.0,30.0,10.0,20.0,15.0,15.0,0.0,40.0
OG,0.0,22.73,54.55,13.63,13.63,9.09,9.09,27.27
TEAM VISION,5.0,10.0,65.0,25.0,30.0,10.0,15.0,20.0
Team Falcons,26.47,20.59,41.17,14.71,8.82,11.77,35.3,44.12
Team Liquid,17.86,10.71,50.0,3.57,17.86,14.29,10.71,32.14
Team Resilience,6.25,37.5,40.62,0.0,31.25,28.12,15.62,18.75
Team Spirit,32.14,17.86,42.86,17.86,25.0,14.29,7.14,32.14
Team Yandex,14.71,23.53,35.3,11.76,26.47,17.64,17.64,32.35
Vici Gaming,10.71,25.0,35.72,17.86,21.43,21.43,14.29,17.86
Xtreme Gaming,4.54,50.0,27.27,9.09,31.81,18.18,0.0,9.09
