team,player,Teamfight,Roshan Kills,Stuns,Tormentor Kills,Courier Kills,First Blood,OBS Wards Planted,Watcher Taken,Camps Stacked,Runes Grabbed,Smokes Used,Lotuses Gained
Aurora Gaming,"Mira, kaori",2714.4,83.8,911.0,1444.0,1004.2,414.4,2014.0,3013.6,1704.8,1027.4,1800.0,0.0
BoomBoys,"Save-, Kataomi`",2661.2,0.0,879.6,1381.2,753.2,138.0,2340.0,2446.4,1387.2,735.2,2134.6,0.0
GamerLegion,"Bignum, Speeed",2821.6,83.8,1099.0,376.6,853.6,414.4,2172.8,2121.0,1404.0,1138.0,1967.4,0.0
HULIGANI,"sayuw, RESPECT",3037.0,234.4,889.8,966.8,773.2,193.4,2012.4,2410.8,1638.0,761.4,1758.0,0.0
Iron Wing,"Ari, Whitemon",2783.6,73.2,1303.4,1153.6,483.4,604.4,2347.4,2756.4,2340.0,793.2,2032.6,0.0
LGD Gaming,"Thiolicor, KingJungles",2757.4,146.4,1418.8,1977.6,1713.6,241.8,2610.6,4290.6,2603.4,1277.8,2307.4,0.0
Nigma Galaxy ,"OmaR, GH",2783.0,468.8,1296.0,879.0,1124.8,193.4,2761.2,3748.4,1263.6,1085.6,2549.2,0.0
OG,"TIMS, skem",2824.6,106.4,1003.8,1438.4,958.6,527.6,2233.6,2886.4,1744.4,1051.0,2024.4,0.0
TEAM VISION,"9Class, Dukalis",2566.0,586.0,1059.2,439.6,773.4,580.2,2539.0,2455.0,1357.2,874.2,2344.0,0.0
Team Falcons,"Cr1t-, Sneyking",2733.6,275.8,925.8,2120.0,827.0,227.6,2395.0,2542.2,2560.2,995.4,2309.6,0.0
Team Liquid,"Boxi, tOfu",2741.6,334.8,672.2,2448.6,1004.2,690.8,2156.2,2320.4,1370.6,715.2,1946.4,0.0
Team Resilience,"planet, zzq",2789.4,146.4,548.2,1813.0,659.0,241.8,2252.4,2535.6,1725.8,775.6,1996.0,0.0
Team Spirit,"not_me, rue",2624.0,334.8,1214.0,2009.2,602.6,552.4,2298.2,2278.4,2056.0,715.2,2072.0,0.0
Team Yandex,"Saksa, Maladych",2652.0,206.8,659.2,465.2,1323.2,227.6,1989.0,2594.0,1583.0,1161.0,1706.2,0.0
Vici Gaming,"XinQ, y`",2866.8,418.4,1071.0,1193.0,401.8,414.4,2381.8,3129.0,1153.2,684.8,2302.2,0.0
Xtreme Gaming,"fy, xNova",2803.4,213.0,1048.6,639.2,447.2,703.2,2223.0,3167.2,1574.2,833.2,1864.4,0.0
