team,role,category,players_seen,n_matches,observer_wards_planted_mean,observer_wards_planted_variance,smoke_used_mean,smoke_used_variance,rune_grabbed_mean,rune_grabbed_variance,camps_stacked_mean,camps_stacked_variance,watcher_taken_mean,watcher_taken_variance
Team Yandex,hard_support,blue,Maladych,17,7.764705882352941,6.4411764705882355,2.9411764705882355,3.4338235294117645,2.7058823529411766,2.8455882352941178,2.3529411764705883,4.367647058823529,6.764705882352941,13.566176470588236
Team Falcons,hard_support,blue,Sneyking,17,10.176470588235293,4.154411764705882,3.411764705882353,2.5073529411764706,3.9411764705882355,4.6838235294117645,4.823529411764706,13.029411764705882,13.117647058823529,20.735294117647058
LGD Gaming,hard_support,blue,KingJungles,16,16.3125,34.62916666666667,4.8125,3.495833333333333,4,4.4,5.1875,11.095833333333333,8.0625,11.395833333333334
Iron Wing,hard_support,blue,Whitemon,16,14.6875,18.895833333333332,4.625,2.783333333333333,2.625,2.3833333333333333,4.9375,8.995833333333334,13.25,19.533333333333335
Team Resilience,hard_support,blue,zzq,16,12.375,45.583333333333336,4.4375,6.395833333333333,3,4,3,4.133333333333334,5.75,7
GamerLegion,hard_support,blue,Speeed,14,7.785714285714286,4.7967032967032965,2.4285714285714284,1.956043956043956,3.5714285714285716,6.8791208791208796,4.071428571428571,18.994505494505493,7,13.076923076923077
Team Spirit,hard_support,blue,rue,14,6.857142857142857,4.131868131868132,3.5,2.423076923076923,2.5,3.9615384615384617,2.857142857142857,5.670329670329671,12.214285714285714,20.181318681318682
Aurora Gaming,hard_support,blue,kaori,14,8.571428571428571,5.186813186813187,3,0.6153846153846154,3.0714285714285716,5.148351648351649,2.7142857142857144,2.681318681318681,10.5,14.115384615384615
BoomBoys,hard_support,blue,Kataomi`,14,14.214285714285714,23.104395604395606,3.2142857142857144,3.8736263736263736,2.7857142857142856,2.642857142857143,2.7142857142857144,4.681318681318682,9.928571428571429,8.225274725274724
Vici Gaming,hard_support,blue,y`,14,15.714285714285714,22.835164835164836,5.142857142857143,7.824175824175824,2.4285714285714284,3.032967032967033,1.7857142857142858,2.181318681318681,13.428571428571429,21.64835164835165
Team Liquid,hard_support,blue,tOfu,14,9.071428571428571,5.456043956043956,3.4285714285714284,2.879120879120879,2.5,2.1153846153846154,2.9285714285714284,5.763736263736264,8.142857142857142,12.901098901098901
Xtreme Gaming,hard_support,blue,xNova,11,12.909090909090908,20.89090909090909,4,2,2.909090909090909,1.290909090909091,2.8181818181818183,1.5636363636363637,11.181818181818182,8.163636363636364
OG,hard_support,blue,skem,11,12.090909090909092,28.89090909090909,3.909090909090909,4.490909090909091,4,5.6,3.5454545454545454,6.872727272727273,8.454545454545455,19.472727272727273
Nigma Galaxy ,hard_support,blue,GH,10,8.5,4.944444444444445,3.4,1.3777777777777778,3.9,3.2111111111111112,3,4,12.8,19.066666666666666
TEAM VISION,hard_support,blue,Dukalis,10,14.7,68.23333333333333,6.9,8.544444444444444,2.2,2.8444444444444446,2.2,5.733333333333333,5.2,5.733333333333333
HULIGANI,hard_support,blue,RESPECT,10,10.7,11.344444444444445,3.2,2.8444444444444446,2.7,5.344444444444444,4.2,7.955555555555556,8.9,6.988888888888889
