team,role,category,players_seen,n_matches,observer_wards_planted_mean,observer_wards_planted_variance,smoke_used_mean,smoke_used_variance,rune_grabbed_mean,rune_grabbed_variance,camps_stacked_mean,camps_stacked_variance,watcher_taken_mean,watcher_taken_variance
Team Yandex,mid,blue,CHIRA_JUNIOR,17,1.6470588235294117,0.36764705882352944,0.058823529411764705,0.058823529411764705,6.176470588235294,10.904411764705882,1.588235294117647,5.132352941176471,1.588235294117647,2.3823529411764706
Team Falcons,mid,blue,Malr1ne,17,1.6470588235294117,0.49264705882352944,0.11764705882352941,0.11029411764705882,9.882352941176471,30.860294117647058,2.2941176470588234,6.470588235294118,2.176470588235294,2.6544117647058822
LGD Gaming,mid,blue,Topson,16,1.3125,0.22916666666666666,0.125,0.11666666666666667,12.6875,23.429166666666667,1.625,4.25,1.5625,2.129166666666667
Iron Wing,mid,blue,bzm,16,1.4375,0.3958333333333333,0,0,12.5,22,2.875,4.25,3.125,2.9166666666666665
Team Resilience,mid,blue,Echozz,16,1.4375,0.6625,0.0625,0.0625,10,24.533333333333335,1.6875,2.3625,3.5,4.4
GamerLegion,mid,blue,RCY,14,1.6428571428571428,0.7087912087912088,0,0,7.571428571428571,8.87912087912088,1.6428571428571428,3.7857142857142856,1.2857142857142858,1.6043956043956045
Team Spirit,mid,blue,Larl,14,0.7142857142857143,0.5274725274725275,0.07142857142857142,0.07142857142857142,10.5,20.115384615384617,1.0714285714285714,0.6868131868131868,3.5,2.8846153846153846
Aurora Gaming,mid,blue,Mikoto,14,2.142857142857143,0.2857142857142857,0,0,10.285714285714286,26.98901098901099,1.5714285714285714,1.3406593406593406,1.5714285714285714,1.8021978021978022
BoomBoys,mid,blue,gpk~,14,1.7857142857142858,0.1813186813186813,0,0,9.785714285714286,19.71978021978022,3,3.8461538461538463,1.1428571428571428,1.2087912087912087
Vici Gaming,mid,blue,Xm,14,1.7857142857142858,0.33516483516483514,0,0,9.214285714285714,13.104395604395604,1.2142857142857142,0.7967032967032966,3.5714285714285716,12.571428571428571
Team Liquid,mid,blue,Nisha,14,1.2857142857142858,0.5274725274725275,0,0,11.928571428571429,32.22527472527472,2.642857142857143,8.862637362637363,2.5,4.730769230769231
Xtreme Gaming,mid,blue,NothingToSay,11,1.2727272727272727,0.41818181818181815,0.09090909090909091,0.09090909090909091,7.454545454545454,9.272727272727273,2.3636363636363638,8.254545454545454,2.272727272727273,4.218181818181818
OG,mid,blue,Yopaj-,11,2.090909090909091,0.2909090909090909,0.36363636363636365,0.45454545454545453,9.636363636363637,22.854545454545455,2.090909090909091,2.090909090909091,1.3636363636363635,0.8545454545454545
Nigma Galaxy ,mid,blue,lorenof,10,1.5,0.5,0,0,12.5,34.27777777777778,2,3.3333333333333335,0.2,0.4
TEAM VISION,mid,blue,No[o]ne-,10,1.4,0.4888888888888889,0,0,13.2,12.622222222222222,1.9,3.433333333333333,5.2,6.844444444444444
HULIGANI,mid,blue,Mirage`雨,10,1.8,0.17777777777777778,0.7,0.45555555555555555,10,20.88888888888889,1.6,0.9333333333333333,1.3,2.6777777777777776
