team,role,category,players_seen,n_matches,observer_wards_planted_mean,observer_wards_planted_variance,smoke_used_mean,smoke_used_variance,rune_grabbed_mean,rune_grabbed_variance,camps_stacked_mean,camps_stacked_variance,watcher_taken_mean,watcher_taken_variance
Team Yandex,soft_support,blue,Saksa,17,9.235294117647058,17.691176470588236,2.8823529411764706,4.360294117647059,5.529411764705882,12.514705882352942,4.411764705882353,13.382352941176471,10.882352941176471,20.110294117647058
Team Falcons,soft_support,blue,Cr1t-,17,10.294117647058824,36.720588235294116,4.470588235294118,8.889705882352942,3.1176470588235294,4.110294117647059,6.117647058823529,9.235294117647058,4.176470588235294,4.779411764705882
LGD Gaming,soft_support,blue,Thiolicor,16,6,5.6,3.0625,2.0625,5.0625,3.6625,5.9375,12.195833333333333,21.125,56.11666666666667
Iron Wing,soft_support,blue,Ari,16,5.375,3.9833333333333334,2.3125,1.5625,3,6.266666666666667,5.0625,16.8625,5.5,4.533333333333333
Team Resilience,soft_support,blue,planet,16,6.875,4.116666666666666,2.375,1.7166666666666666,2.5,5.333333333333333,4.375,4.783333333333333,11.5,28.666666666666668
GamerLegion,soft_support,blue,Bignum,14,10.785714285714286,28.48901098901099,4.285714285714286,1.6043956043956045,4.5,5.346153846153846,1.9285714285714286,3.60989010989011,7.428571428571429,14.263736263736265
Team Spirit,soft_support,blue,not_me,14,12.785714285714286,15.719780219780219,3.5714285714285716,3.4945054945054945,2.5714285714285716,4.263736263736264,5.928571428571429,9.148351648351648,3.2857142857142856,3.4505494505494507
Aurora Gaming,soft_support,blue,Mira,14,8.642857142857142,8.247252747252746,3.142857142857143,1.5164835164835164,4.214285714285714,5.258241758241758,4.571428571428571,5.186813186813187,10,19.846153846153847
BoomBoys,soft_support,blue,Save-,14,5.785714285714286,3.1043956043956045,4.071428571428571,1.60989010989011,2.4285714285714284,3.6483516483516483,3.2142857142857144,4.335164835164835,6.714285714285714,8.835164835164836
Vici Gaming,soft_support,blue,XinQ,14,4.642857142857143,2.5549450549450547,2.7142857142857144,3.758241758241758,2.4285714285714284,3.6483516483516483,3.142857142857143,5.208791208791209,7.857142857142857,10.901098901098901
Team Liquid,soft_support,blue,Boxi,14,9.357142857142858,8.401098901098901,3.2142857142857144,1.1043956043956045,2.5714285714285716,11.186813186813186,2.9285714285714284,6.225274725274725,7.642857142857143,14.862637362637363
Xtreme Gaming,soft_support,blue,fy,11,6.090909090909091,6.290909090909091,2.3636363636363638,2.4545454545454546,3,3,3.909090909090909,12.690909090909091,10.363636363636363,17.254545454545454
OG,soft_support,blue,TIMS,11,7,14.4,3,2,3.4545454545454546,2.8727272727272726,3.909090909090909,7.890909090909091,11.181818181818182,11.763636363636364
Nigma Galaxy ,soft_support,blue,OmaR,10,15.1,16.766666666666666,5.3,2.6777777777777776,3.8,3.511111111111111,2.4,4.266666666666667,12.7,17.788888888888888
TEAM VISION,soft_support,blue,9Class,10,7,6.444444444444445,1.1,0.7666666666666667,4,4.222222222222222,3.6,8.266666666666667,11.5,15.61111111111111
HULIGANI,soft_support,blue,sayuw,10,6.5,9.38888888888889,2.8,3.7333333333333334,2.7,2.4555555555555557,2.8,7.511111111111111,7.5,10.277777777777779
