team,role,category,players_seen,n_matches,teamfight_participation_mean,teamfight_participation_variance,roshan_kills_mean,roshan_kills_variance,stuns_seconds_mean,stuns_seconds_variance,first_blood_mean,first_blood_variance,courier_kills_mean,courier_kills_variance,tormentor_participate_mean,tormentor_participate_variance
Team Yandex,hard_support,green,Maladych,17,0.5753999052941177,0.014520471476536227,0.17647058823529413,0.15441176470588236,31.35687788235294,946.9023053472039,0.058823529411764705,0.058823529411764705,0.4117647058823529,0.38235294117647056,0.35294117647058826,0.36764705882352944
Team Falcons,hard_support,green,Sneyking,17,0.6641145617647058,0.029993074797221304,0.11764705882352941,0.11029411764705882,32.8356552117647,1347.116547527833,0.11764705882352941,0.11029411764705882,0.6470588235294118,0.6176470588235294,1.2941176470588236,1.0955882352941178
LGD Gaming,hard_support,green,KingJungles,16,0.630193733125,0.009373706735063879,0,0,39.934528125,944.493447699063,0,0,0.5625,0.5291666666666667,1.1875,0.9625
Iron Wing,hard_support,green,Whitemon,16,0.664848155625,0.015468489967609734,0,0,43.7713455,1267.3155259348216,0.125,0.11666666666666667,0.375,0.7833333333333333,0.6875,0.49583333333333335
Team Resilience,hard_support,green,zzq,16,0.591403465,0.01871999845320869,0.125,0.11666666666666667,12.98256420625,154.1915137882992,0,0,0.3125,0.22916666666666666,1.0625,0.8625
GamerLegion,hard_support,green,Speeed,14,0.6957697678571428,0.012297106427263695,0.07142857142857142,0.07142857142857142,29.64149727857143,674.3452317469589,0.14285714285714285,0.13186813186813187,0.9285714285714286,4.532967032967033,0.2857142857142857,0.37362637362637363
Team Spirit,hard_support,green,rue,14,0.5989928414285715,0.0073603732092928295,0.14285714285714285,0.13186813186813187,48.4783445,1836.766119738251,0.07142857142857142,0.07142857142857142,0.35714285714285715,0.4010989010989011,1.1428571428571428,1.5164835164835164
Aurora Gaming,hard_support,green,kaori,14,0.591916475,0.024350299627277916,0,0,31.624326871428572,691.8306651309715,0.07142857142857142,0.07142857142857142,0.5,0.4230769230769231,0.7857142857142857,0.6428571428571429
BoomBoys,hard_support,green,Kataomi`,14,0.5623299385714285,0.015141846018678722,0,0,38.64163046428571,2255.6590366483188,0,0,0.7142857142857143,0.6813186813186813,0.8571428571428571,1.3626373626373627
Vici Gaming,hard_support,green,y`,14,0.68917638,0.028265571724410604,0.14285714285714285,0.2857142857142857,35.93331464285714,876.5826944301324,0.07142857142857142,0.07142857142857142,0.42857142857142855,0.5714285714285714,0.7857142857142857,0.33516483516483514
Team Liquid,hard_support,green,tOfu,14,0.6465534428571429,0.00962019914117341,0.07142857142857142,0.07142857142857142,32.040077464285716,176.68642783184663,0.14285714285714285,0.13186813186813187,0.5,0.2692307692307692,1.3571428571428572,1.1703296703296704
Xtreme Gaming,hard_support,green,xNova,11,0.5812498172727273,0.0421492232949574,0,0,32.56528609090909,447.2572782443035,0.18181818181818182,0.16363636363636364,0.2727272727272727,0.41818181818181815,0.36363636363636365,0.45454545454545453
OG,hard_support,green,skem,11,0.6298577727272727,0.02077305543895324,0,0,36.73941836363637,892.9101292722751,0,0,1.2727272727272727,2.8181818181818183,0.8181818181818182,0.7636363636363637
Nigma Galaxy ,hard_support,green,GH,10,0.583711057,0.02422511024485894,0.2,0.17777777777777778,44.5963269,1876.3741449376594,0,0,0.3,0.23333333333333334,0.5,0.2777777777777778
TEAM VISION,hard_support,green,Dukalis,10,0.589291737,0.010945057763347907,0.4,0.26666666666666666,26.51871576,607.5367589451592,0,0,0.2,0.4,0.3,0.23333333333333334
HULIGANI,hard_support,green,RESPECT,10,0.7164131460000001,0.033552348980372425,0.2,0.17777777777777778,32.1549633,770.8602307738989,0.1,0.1,0.4,0.26666666666666666,0.6,0.4888888888888889
