team,role,category,players_seen,n_matches,teamfight_participation_mean,teamfight_participation_variance,roshan_kills_mean,roshan_kills_variance,stuns_seconds_mean,stuns_seconds_variance,first_blood_mean,first_blood_variance,courier_kills_mean,courier_kills_variance,tormentor_participate_mean,tormentor_participate_variance
Team Yandex,mid,green,CHIRA_JUNIOR,17,0.6577559541176471,0.04352125402142417,0.17647058823529413,0.27941176470588236,36.922508594117645,576.8071789689544,0.058823529411764705,0.058823529411764705,0.29411764705882354,0.22058823529411764,0.29411764705882354,0.34558823529411764
Team Falcons,mid,green,Malr1ne,17,0.6850235552941176,0.017608058948648028,0.4117647058823529,0.5073529411764706,31.282096235294116,230.65174648436056,0.23529411764705882,0.19117647058823528,0.29411764705882354,0.34558823529411764,1.1176470588235294,1.1102941176470589
LGD Gaming,mid,green,Topson,16,0.7070563525,0.019487540478565955,0.625,0.7833333333333333,50.558394125,1567.2464389788513,0.0625,0.0625,0.25,0.3333333333333333,1.125,1.05
Iron Wing,mid,green,bzm,16,0.7103376625,0.010925771616942886,0.3125,0.22916666666666666,48.926057125,1822.8143816492834,0,0,0.125,0.11666666666666667,0.625,0.5166666666666667
Team Resilience,mid,green,Echozz,16,0.73294490375,0.008151657163342428,0.1875,0.29583333333333334,74.7888623125,7590.650199371807,0,0,0.3125,0.3625,0.75,0.8666666666666667
GamerLegion,mid,green,RCY,14,0.7158485885714285,0.018714083925901518,0.2857142857142857,0.21978021978021978,49.049844392857146,1787.0906025348977,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.1813186813186813,0.14285714285714285,0.13186813186813187
Team Spirit,mid,green,Larl,14,0.6828326478571428,0.013680891475501097,0.2857142857142857,0.21978021978021978,50.452295771428574,1751.4537269780117,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,1.2857142857142858,1.4505494505494505
Aurora Gaming,mid,green,Mikoto,14,0.7084955964285714,0.014544556719206053,0.2857142857142857,0.21978021978021978,42.13656942857143,1383.2076189583654,0.21428571428571427,0.1813186813186813,0.14285714285714285,0.13186813186813187,0.7857142857142857,0.6428571428571429
BoomBoys,mid,green,gpk~,14,0.7095136,0.01681462888511725,0.35714285714285715,0.4010989010989011,47.1432925,1172.3495885513219,0,0,0.5,0.4230769230769231,0.9285714285714286,1.3021978021978022
Vici Gaming,mid,green,Xm,14,0.7506357792857143,0.02208215417428287,0.21428571428571427,0.1813186813186813,30.31902752857143,426.54435988233183,0.14285714285714285,0.13186813186813187,0.2857142857142857,0.21978021978021978,0.5714285714285714,0.4175824175824176
Team Liquid,mid,green,Nisha,14,0.7346386371428572,0.01893569390462287,0.07142857142857142,0.07142857142857142,43.555328571428575,889.6845971745686,0,0,0.21428571428571427,0.1813186813186813,0.8571428571428571,1.3626373626373627
Xtreme Gaming,mid,green,NothingToSay,11,0.6666643545454546,0.019121499685408723,0.18181818181818182,0.16363636363636364,32.05334881818182,466.90455763057116,0,0,0.2727272727272727,0.41818181818181815,0.36363636363636365,0.45454545454545453
OG,mid,green,Yopaj-,11,0.657882080909091,0.02054769562505179,0.18181818181818182,0.16363636363636364,53.49129463636364,1946.8997430464071,0,0,0,0,0.7272727272727273,0.8181818181818182
Nigma Galaxy ,mid,green,lorenof,10,0.754737391,0.0053832754262532765,0.9,0.5444444444444444,45.55508501,2376.7918257175756,0.1,0.1,0.3,0.23333333333333334,0.2,0.17777777777777778
TEAM VISION,mid,green,No[o]ne-,10,0.680076756,0.025836327361442715,0.3,0.23333333333333334,42.1633123,1356.3835740865698,0,0,0.1,0.1,0.3,0.23333333333333334
HULIGANI,mid,green,Mirage`雨,10,0.693226347,0.03139642711838538,0.4,0.26666666666666666,48.958801980000004,2642.701043814792,0,0,0.1,0.1,0.6,0.4888888888888889
