team,role,category,players_seen,n_matches,teamfight_participation_mean,teamfight_participation_variance,roshan_kills_mean,roshan_kills_variance,stuns_seconds_mean,stuns_seconds_variance,first_blood_mean,first_blood_variance,courier_kills_mean,courier_kills_variance,tormentor_participate_mean,tormentor_participate_variance
Team Yandex,offlane,green,DM,17,0.5990365470588235,0.03498195231133801,0.23529411764705882,0.3161764705882353,34.36198192941176,968.6173588233901,0.11764705882352941,0.11029411764705882,0.35294117647058826,0.36764705882352944,0.29411764705882354,0.34558823529411764
Team Falcons,offlane,green,AMMAR_THE_F,17,0.6103216264705882,0.014020831326700638,0.35294117647058826,0.2426470588235294,35.555715047058825,1184.10291629582,0.058823529411764705,0.058823529411764705,0.35294117647058826,0.36764705882352944,0.8823529411764706,1.1102941176470589
LGD Gaming,offlane,green,Wisper,16,0.675077711875,0.009538440713887536,0.25,0.2,43.433567875,703.4111592734135,0.125,0.11666666666666667,0.3125,0.22916666666666666,1,1.2
Iron Wing,offlane,green,33,16,0.619202946875,0.01471354355461125,0.1875,0.1625,18.9161620625,154.93296959001296,0.375,0.25,0.25,0.2,0.75,0.4666666666666667
Team Resilience,offlane,green,niu,16,0.6414483725,0.01671983726171137,0.3125,0.6291666666666667,55.3272446875,2266.8534318224706,0.1875,0.1625,0.0625,0.0625,1,0.9333333333333333
GamerLegion,offlane,green,Fayde,14,0.5636235242857143,0.020861243805533444,0.2857142857142857,0.21978021978021978,48.74459064285714,1691.101869504795,0.07142857142857142,0.07142857142857142,0.35714285714285715,0.24725274725274726,0.35714285714285715,0.4010989010989011
Team Spirit,offlane,green,Collapse,14,0.6050786464285715,0.017542308167107116,0.21428571428571427,0.1813186813186813,79.74127435714286,12610.845166053808,0.07142857142857142,0.07142857142857142,0.42857142857142855,1.8021978021978022,1.2857142857142858,1.4505494505494505
Aurora Gaming,offlane,green,Ws`,14,0.6304390042857143,0.03115766007670364,0.42857142857142855,0.4175824175824176,49.863931535714286,6660.64969715238,0,0,0.21428571428571427,0.1813186813186813,0.6428571428571429,0.554945054945055
BoomBoys,offlane,green,MieRo,14,0.6709362092857143,0.008258321284389296,0.07142857142857142,0.07142857142857142,64.69296312142858,9068.50117521482,0,0,0,0,0.7857142857142857,1.4120879120879122
Vici Gaming,offlane,green,Bach,14,0.6220217335714285,0.021260868352165195,0.07142857142857142,0.07142857142857142,33.679939857142855,355.7454090174833,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.33516483516483514,0.6428571428571429,0.24725274725274726
Team Liquid,offlane,green,Ace ♠,14,0.5824534464285714,0.017666953027617255,0.21428571428571427,0.33516483516483514,57.58293517142857,6003.564306157683,0.14285714285714285,0.13186813186813187,0.21428571428571427,0.1813186813186813,1.4285714285714286,1.032967032967033
Xtreme Gaming,offlane,green,Xxs,11,0.6582382009090909,0.0325700867202904,0.18181818181818182,0.16363636363636364,50.28405895454546,5929.409609832712,0,0,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.16363636363636364
OG,offlane,green,Raven,11,0.6325386227272727,0.017173968770535397,0.09090909090909091,0.09090909090909091,21.863123336363635,448.94386725005955,0.36363636363636365,0.2545454545454545,0.5454545454545454,0.4727272727272727,0.9090909090909091,0.6909090909090909
Nigma Galaxy ,offlane,green,Davai,10,0.671380516,0.010886270727276359,0.5,0.5,25.2497525,319.9761445540376,0.1,0.1,0.5,0.5,0.4,0.26666666666666666
TEAM VISION,offlane,green,Noticed,10,0.671444958,0.009303399930666418,0.2,0.17777777777777778,28.77664004,553.9883159534618,0,0,0.3,0.23333333333333334,0.2,0.17777777777777778
HULIGANI,offlane,green,Corrupted,10,0.575099284,0.07839265147166966,0.1,0.1,48.9300938,2646.3879308895625,0,0,0.2,0.17777777777777778,0.5,0.5
