team,role,category,players_seen,n_matches,teamfight_participation_mean,teamfight_participation_variance,roshan_kills_mean,roshan_kills_variance,stuns_seconds_mean,stuns_seconds_variance,first_blood_mean,first_blood_variance,courier_kills_mean,courier_kills_variance,tormentor_participate_mean,tormentor_participate_variance
Team Yandex,soft_support,green,Saksa,17,0.6732463735294117,0.01730619666867125,0,0,34.56142582352941,633.6256234600203,0.058823529411764705,0.058823529411764705,1.4705882352941178,6.639705882352941,0.17647058823529413,0.15441176470588236
Team Falcons,soft_support,green,Cr1t-,17,0.6228654511764706,0.018582967592286358,0.11764705882352941,0.11029411764705882,59.73937982352941,812.1410144201503,0,0,0.5294117647058824,0.5147058823529411,1.1176470588235294,1.2352941176470589
LGD Gaming,soft_support,green,Thiolicor,16,0.66805137125,0.01076445910616729,0.125,0.11666666666666667,101.940513125,11290.24404305121,0.125,0.11666666666666667,1.875,3.05,1.0625,1.1291666666666667
Iron Wing,soft_support,green,Ari,16,0.645743064375,0.017434608003213656,0.0625,0.0625,86.5726049375,4673.123537275051,0.1875,0.1625,0.3125,0.22916666666666666,0.625,0.5166666666666667
Team Resilience,soft_support,green,planet,16,0.721825916875,0.014902238547335115,0,0,41.852027625,843.5862945541484,0.125,0.11666666666666667,0.625,0.7833333333333333,1,0.9333333333333333
GamerLegion,soft_support,green,Bignum,14,0.6326643142857142,0.01316292713025792,0,0,80.27461592857144,3341.8705776048846,0.07142857142857142,0.07142857142857142,0.2857142857142857,0.37362637362637363,0.14285714285714285,0.13186813186813187
Team Spirit,soft_support,green,not_me,14,0.6364517192857143,0.011973001913017329,0.14285714285714285,0.13186813186813187,72.91108078571429,6086.691324612176,0.21428571428571427,0.1813186813186813,0.5,0.5769230769230769,1.1428571428571428,1.2087912087912087
Aurora Gaming,soft_support,green,Mira,14,0.6860632057142857,0.012678049579339455,0.07142857142857142,0.07142857142857142,59.48999778571429,1810.0072893364854,0.14285714285714285,0.13186813186813187,0.9285714285714286,1.456043956043956,0.8571428571428571,0.5934065934065934
BoomBoys,soft_support,green,Save-,14,0.6905167764285715,0.009277494885670026,0,0,49.30689385714286,1121.4985554556588,0.07142857142857142,0.07142857142857142,0.35714285714285715,0.7087912087912088,0.7142857142857143,1.2967032967032968
Vici Gaming,soft_support,green,XinQ,14,0.66059029,0.04331508069708209,0.21428571428571427,0.1813186813186813,71.16910890714286,5214.337991710135,0.14285714285714285,0.13186813186813187,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.4175824175824176
Team Liquid,soft_support,green,Boxi,14,0.644230925,0.013506064904226981,0.21428571428571427,0.1813186813186813,35.19297492857143,715.1735914552411,0.21428571428571427,0.1813186813186813,0.9285714285714286,1.3021978021978022,1.4285714285714286,1.032967032967033
Xtreme Gaming,soft_support,green,fy,11,0.7386040327272727,0.028284424880836923,0.18181818181818182,0.16363636363636364,72.28562536363637,2413.916297658835,0.18181818181818182,0.16363636363636364,0.36363636363636365,0.2545454545454545,0.36363636363636365,0.45454545454545453
OG,soft_support,green,TIMS,11,0.7000544745454546,0.02703987545234723,0.09090909090909091,0.09090909090909091,63.65108863636364,3452.70093976362,0.2727272727272727,0.21818181818181817,0.09090909090909091,0.09090909090909091,0.8181818181818182,0.7636363636363637
Nigma Galaxy ,soft_support,green,OmaR,10,0.72661159,0.019139451129264757,0.2,0.17777777777777778,85.0057098,1838.3820998886122,0.1,0.1,1.3,0.6777777777777778,0.5,0.2777777777777778
TEAM VISION,soft_support,green,9Class,10,0.618736195,0.004800703675753583,0.1,0.1,79.4057273,1779.7329975203559,0.3,0.23333333333333334,0.9,1.8777777777777778,0.2,0.17777777777777778
HULIGANI,soft_support,green,sayuw,10,0.713421294,0.024553862798617675,0,0,56.826816,3104.9999396601183,0,0,0.7,0.23333333333333334,0.5,0.5
