team,role,category,players_seen,n_matches,last_hits_mean,last_hits_variance,kills_mean,kills_variance,gpm_mean,gpm_variance,deaths_mean,deaths_variance,tower_kills_mean,tower_kills_variance,madstone_collected_mean,madstone_collected_variance
Team Yandex,carry,red,医者watson`,17,569.1764705882352,50367.654411764706,7.352941176470588,17.99264705882353,751.8823529411765,19017.610294117647,2.588235294117647,3.1323529411764706,2.6470588235294117,6.617647058823529,22.647058823529413,95.24264705882354
Team Falcons,carry,red,skiter,17,548.1764705882352,34057.029411764706,6.588235294117647,17.25735294117647,705.5882352941177,13956.007352941177,4.0588235294117645,9.933823529411764,3.6470588235294117,10.117647058823529,23.705882352941178,137.47058823529412
LGD Gaming,carry,red,Yuma,16,659.125,51234.51666666667,9.625,40.11666666666667,746.1875,17641.229166666668,4.1875,7.3625,2.3125,5.029166666666667,20.9375,72.0625
Iron Wing,carry,red,Pure,16,579.8125,29955.095833333333,9.125,18.383333333333333,756.5,8661.733333333334,4.25,7.8,3.4375,7.995833333333334,21.1875,59.62916666666667
Team Resilience,carry,red,YSR-04E,16,577.6875,89898.49583333333,9.25,44.2,721.0625,26301.6625,5.25,10.866666666666667,3.125,9.05,22.875,62.11666666666667
GamerLegion,carry,red,Ghost,14,530,30331.23076923077,6.5,12.884615384615385,691.5,12454.576923076924,3.9285714285714284,4.84065934065934,2.357142857142857,6.247252747252747,25,73.38461538461539
Team Spirit,carry,red,Yatoro,14,717.7857142857143,57465.258241758245,9.571428571428571,53.64835164835165,855.3571428571429,20757.93956043956,3.5,8.115384615384615,4.142857142857143,4.593406593406593,25.428571428571427,36.26373626373626
Aurora Gaming,carry,red,Nightfall,14,482.7142857142857,14622.527472527472,7.071428571428571,9.763736263736265,688.5714285714286,3679.186813186813,3,4.461538461538462,2.642857142857143,3.3241758241758244,18.857142857142858,29.978021978021978
BoomBoys,carry,red,Kiritych~,14,625.5,50440.11538461538,7.714285714285714,21.45054945054945,773.1428571428571,24202.593406593405,3.2857142857142856,3.912087912087912,2.642857142857143,9.016483516483516,20.285714285714285,22.52747252747253
Vici Gaming,carry,red,shiro,14,634.5714285714286,19413.340659340658,6.714285714285714,16.681318681318682,716.8571428571429,11414.439560439561,4.071428571428571,4.84065934065934,2.857142857142857,5.670329670329671,23.357142857142858,38.862637362637365
Team Liquid,carry,red,m1CKe,14,549.7142857142857,21042.68131868132,7.357142857142857,27.324175824175825,741.8571428571429,16581.67032967033,3.2857142857142856,4.835164835164835,3.5,6.576923076923077,22.714285714285715,63.604395604395606
Xtreme Gaming,carry,red,Ame,11,540.0909090909091,27351.69090909091,4.636363636363637,16.654545454545456,662.5454545454545,17247.272727272728,4,5.4,2.1818181818181817,7.363636363636363,19.363636363636363,29.054545454545455
OG,carry,red,Natsumi,11,576.3636363636364,59422.25454545455,5.636363636363637,18.654545454545456,658.7272727272727,19605.618181818183,4.2727272727272725,4.218181818181818,1.8181818181818181,2.7636363636363637,24,60.6
Nigma Galaxy ,carry,red,SumaiL-,10,705,43146.22222222222,10,26.666666666666668,785.1,25910.544444444444,4.9,16.322222222222223,3.7,10.677777777777777,24.7,133.12222222222223
TEAM VISION,carry,red,Satanic,10,810.9,75408.76666666666,14.1,40.766666666666666,937.9,7776.1,1.6,3.8222222222222224,5.2,4.622222222222222,29.1,297.43333333333334
HULIGANI,carry,red,ssnovv1,10,649.2,29078.844444444443,4.7,7.566666666666666,741.4,13232.044444444444,3.5,3.388888888888889,2.8,6.622222222222222,23.6,40.48888888888889
