team,role,category,players_seen,n_matches,last_hits_mean,last_hits_variance,kills_mean,kills_variance,gpm_mean,gpm_variance,deaths_mean,deaths_variance,tower_kills_mean,tower_kills_variance,madstone_collected_mean,madstone_collected_variance
Team Yandex,mid,red,CHIRA_JUNIOR,17,345.6470588235294,15227.492647058823,7.117647058823529,25.610294117647058,566.8823529411765,7512.735294117647,4.117647058823529,7.860294117647059,0.8823529411764706,1.8602941176470589,9.411764705882353,20.63235294117647
Team Falcons,mid,red,Malr1ne,17,470,37803.375,9,20.25,657.7058823529412,12157.470588235294,3.9411764705882355,3.6838235294117645,2,3.625,13.294117647058824,23.470588235294116
LGD Gaming,mid,red,Topson,16,522.125,22843.05,7.3125,15.029166666666667,652.625,8217.316666666668,4.625,7.05,1.875,4.116666666666666,12.5,16.666666666666668
Iron Wing,mid,red,bzm,16,436.4375,22291.729166666668,7.5,13.466666666666667,654.4375,11672.529166666667,4,9.2,1.125,2.783333333333333,10,46.13333333333333
Team Resilience,mid,red,Echozz,16,389.3125,51368.895833333336,7.25,23.133333333333333,580.875,11187.05,4.375,7.583333333333333,1,0.9333333333333333,11.6875,20.495833333333334
GamerLegion,mid,red,RCY,14,419.7142857142857,31332.835164835164,7.428571428571429,20.571428571428573,620.2857142857143,8280.373626373626,3.0714285714285716,2.9945054945054945,1.2857142857142858,0.5274725274725275,9.071428571428571,27.917582417582416
Team Spirit,mid,red,Larl,14,413.7857142857143,19904.18131868132,7.714285714285714,31.142857142857142,587.7142857142857,8125.450549450549,5.642857142857143,11.478021978021978,0.7142857142857143,1.2967032967032968,10.285714285714286,19.604395604395606
Aurora Gaming,mid,red,Mikoto,14,386.64285714285717,28290.247252747253,8,14.615384615384615,622.6428571428571,6192.093406593406,3.857142857142857,5.516483516483516,0.7857142857142857,1.1043956043956045,11.5,74.11538461538461
BoomBoys,mid,red,gpk~,14,468.64285714285717,27525.478021978022,7.357142857142857,10.401098901098901,615.0714285714286,9560.532967032967,3.142857142857143,4.43956043956044,1.2857142857142858,4.21978021978022,15.571428571428571,30.725274725274726
Vici Gaming,mid,red,Xm,14,485.57142857142856,11971.34065934066,4.428571428571429,5.34065934065934,594.5,5011.038461538462,4.714285714285714,7.912087912087912,0.35714285714285715,0.24725274725274726,14.857142857142858,23.67032967032967
Team Liquid,mid,red,Nisha,14,387.5,18362.115384615383,9.071428571428571,10.686813186813186,619.4285714285714,11509.34065934066,3.5,6.730769230769231,0.8571428571428571,1.054945054945055,9.857142857142858,35.97802197802198
Xtreme Gaming,mid,red,NothingToSay,11,364.45454545454544,13619.872727272726,5.545454545454546,15.472727272727273,535.5454545454545,6643.872727272727,4.181818181818182,3.7636363636363637,0.5454545454545454,0.2727272727272727,10.545454545454545,37.27272727272727
OG,mid,red,Yopaj-,11,397.90909090909093,25362.890909090907,5.818181818181818,21.963636363636365,539.7272727272727,8912.618181818181,4.2727272727272725,5.418181818181818,0.36363636363636365,0.45454545454545453,12.363636363636363,21.254545454545454
Nigma Galaxy ,mid,red,lorenof,10,637.5,49447.61111111111,11.7,38.9,770.3,30680.455555555556,3.7,4.677777777777778,2.5,8.722222222222221,17.7,67.78888888888889
TEAM VISION,mid,red,No[o]ne-,10,454.5,31834.277777777777,9.3,16.677777777777777,637.1,6300.988888888889,4.2,9.28888888888889,0.7,0.45555555555555555,12.8,40.4
HULIGANI,mid,red,Mirage`雨,10,428.1,24540.544444444444,4.8,15.511111111111111,563,15655.555555555555,4.5,2.9444444444444446,0.6,1.6,13.2,37.51111111111111
