team,role,category,players_seen,n_matches,last_hits_mean,last_hits_variance,kills_mean,kills_variance,gpm_mean,gpm_variance,deaths_mean,deaths_variance,tower_kills_mean,tower_kills_variance,madstone_collected_mean,madstone_collected_variance
Team Yandex,offlane,red,DM,17,359.2352941176471,13193.066176470587,4,3.875,600.7058823529412,6466.345588235294,4.0588235294117645,8.308823529411764,0.6470588235294118,0.8676470588235294,12.823529411764707,24.279411764705884
Team Falcons,offlane,red,AMMAR_THE_F,17,543.5294117647059,58674.88970588235,6.117647058823529,7.610294117647059,682.8235294117648,12917.529411764706,5.529411764705882,11.014705882352942,0.5294117647058824,0.3897058823529412,19.294117647058822,107.22058823529412
LGD Gaming,offlane,red,Wisper,16,614.0625,43186.995833333334,7.125,16.783333333333335,706.25,12210.733333333334,5,8.4,1.3125,2.3625,20.9375,51.52916666666667
Iron Wing,offlane,red,33,16,423.0625,14984.195833333333,5.9375,12.195833333333333,627.3125,11584.229166666666,4.1875,6.029166666666667,1,3.3333333333333335,18.875,51.71666666666667
Team Resilience,offlane,red,niu,16,349.3125,27455.9625,6,8.933333333333334,543.4375,10185.995833333332,5.6875,7.9625,0.5,0.5333333333333333,11.9375,18.995833333333334
GamerLegion,offlane,red,Fayde,14,403.35714285714283,25533.324175824175,4.214285714285714,6.489010989010989,555.1428571428571,13569.978021978022,4.214285714285714,9.565934065934066,1.5,1.5,14.714285714285714,39.75824175824176
Team Spirit,offlane,red,Collapse,14,381.7142857142857,6858.989010989011,5,5.076923076923077,585.5714285714286,5637.494505494506,4.5,4.423076923076923,0.7857142857142857,0.6428571428571429,15.142857142857142,20.285714285714285
Aurora Gaming,offlane,red,Ws`,14,398,16159.692307692309,6.714285714285714,17.912087912087912,641.5,10234.73076923077,4,4.769230769230769,1.0714285714285714,1.456043956043956,14.714285714285714,18.21978021978022
BoomBoys,offlane,red,MieRo,14,374.14285714285717,13829.824175824177,4.642857142857143,13.785714285714286,561.7857142857143,7220.027472527472,4.428571428571429,7.34065934065934,1,1.0769230769230769,14.928571428571429,14.225274725274724
Vici Gaming,offlane,red,Bach,14,406.7857142857143,9373.258241758242,2.7857142857142856,3.71978021978022,541.9285714285714,7198.840659340659,4.928571428571429,3.302197802197802,1.2142857142857142,1.7197802197802199,11,28.153846153846153
Team Liquid,offlane,red,Ace ♠,14,388.14285714285717,14989.670329670329,5.428571428571429,11.648351648351648,576.2142857142857,9538.489010989011,3.857142857142857,8.901098901098901,0.9285714285714286,0.8406593406593407,14.642857142857142,62.09340659340659
Xtreme Gaming,offlane,red,Xxs,11,450.54545454545456,20502.872727272726,4.545454545454546,11.472727272727273,586.2727272727273,16243.618181818181,3.909090909090909,5.490909090909091,0.8181818181818182,0.5636363636363636,17.545454545454547,30.272727272727273
OG,offlane,red,Raven,11,347.6363636363636,15138.654545454545,3.8181818181818183,10.763636363636364,500.6363636363636,7784.854545454546,5.636363636363637,5.454545454545454,1.0909090909090908,1.0909090909090908,11.090909090909092,16.490909090909092
Nigma Galaxy ,offlane,red,Davai,10,482,33004.444444444445,6,18.444444444444443,637,21528.666666666668,5.7,8.9,1.1,4.544444444444444,13.7,44.455555555555556
TEAM VISION,offlane,red,Noticed,10,496.7,23864.67777777778,3.9,6.322222222222222,660.4,3926.488888888889,3,3.5555555555555554,0.7,0.45555555555555555,16.4,75.37777777777778
HULIGANI,offlane,red,Corrupted,10,401.2,10290.844444444445,1.9,3.433333333333333,547.9,5753.211111111111,5.3,3.7888888888888888,1,1.5555555555555556,14.9,25.211111111111112
