team,player,Tower Kills,Creep Score,Death,Madstone,GPM,Kills,Teamfight,Roshan Kills,Stuns,Tormentor Kills,Courier Kills,First Blood
Aurora Gaming,Nightfall,930.3,1448.1,1365.0,245.1,1377.1,756.6,1315.2,920.9,216.9,690.6,301.3,138.1
BoomBoys,Kiritych~,930.3,1876.5,1309.3,263.7,1546.3,825.4,1340.0,1255.7,171.4,627.9,150.6,414.4
GamerLegion,Ghost,829.7,1590.0,1183.9,325.0,1383.0,695.5,1182.2,1004.6,221.6,313.9,50.2,276.3
HULIGANI,ssnovv1,985.6,1947.6,1267.5,306.8,1482.8,502.9,1297.2,1054.8,89.9,527.4,70.3,386.8
Iron Wing,Pure,1210.0,1739.4,1121.2,275.4,1513.0,976.4,1362.5,1245.2,226.4,659.2,219.7,362.6
LGD Gaming,Yuma,814.0,1977.4,1133.4,272.2,1492.4,1029.9,1422.1,952.2,291.2,1043.8,263.6,362.6
Nigma Galaxy ,SumaiL-,1302.4,2115.0,994.5,321.1,1570.2,1070.0,1336.9,937.6,268.9,351.6,0.0,0.0
OG,Natsumi,640.0,1729.1,1116.8,312.0,1317.5,603.1,1204.1,1385.1,159.1,799.1,127.8,0.0
TEAM VISION,Satanic,1830.4,2432.7,1638.0,378.3,1875.8,1508.7,1441.2,1054.8,208.0,263.7,0.0,580.2
Team Falcons,skiter,1283.8,1644.5,1158.5,308.2,1411.2,704.9,1224.9,1034.1,290.7,1137.5,248.1,227.5
Team Liquid,m1CKe,1232.0,1649.1,1309.3,295.3,1483.7,787.2,1135.0,1004.6,208.6,1192.9,100.4,276.3
Team Resilience,YSR-04E,1100.0,1733.1,926.2,297.4,1442.1,989.8,1185.6,952.2,125.9,988.9,219.7,120.9
Team Spirit,Yatoro,1458.3,2153.4,1267.5,330.6,1710.7,1024.1,1272.9,920.9,247.6,1130.1,251.1,276.3
Team Yandex,医者watson`,931.8,1707.5,1445.3,294.4,1503.8,786.8,1221.2,620.5,181.4,206.8,289.5,227.5
Vici Gaming,shiro,1005.7,1903.7,1156.1,303.6,1433.7,718.4,1502.2,1004.6,185.0,627.9,100.4,0.0
Xtreme Gaming,Ame,768.0,1620.3,1170.0,251.7,1325.1,496.1,1113.0,639.3,104.8,319.6,127.8,0.0
