team,player,Teamfight,Roshan Kills,Stuns,Tormentor Kills,Courier Kills,First Blood,OBS Wards Planted,Watcher Taken,Camps Stacked,Runes Grabbed,Smokes Used,Lotuses Gained
Aurora Gaming,kaori,1257.2,0.0,316.2,690.6,351.5,138.1,1002.9,1543.5,635.1,433.1,879.0,0
BoomBoys,Kataomi`,1194.4,0.0,386.4,753.4,502.1,0.0,1663.1,1459.5,635.1,392.8,941.8,0
GamerLegion,Speeed,1477.8,83.7,296.4,251.1,652.8,276.3,910.9,1029.0,952.7,503.6,711.6,0
HULIGANI,RESPECT,1521.7,234.4,321.5,527.4,281.2,193.4,1251.9,1308.3,982.8,380.7,937.6,0
Iron Wing,Whitemon,1412.1,0.0,437.7,604.3,263.6,241.8,1718.4,1947.8,1155.4,370.1,1355.1,0
LGD Gaming,KingJungles,1338.5,0.0,399.3,1043.8,395.4,0.0,1908.6,1185.2,1213.9,564.0,1410.1,0
Nigma Galaxy ,GH,1239.8,234.4,446.0,439.5,210.9,0.0,994.5,1881.6,702.0,549.9,996.2,0
OG,skem,1337.8,0.0,367.4,719.2,894.7,0.0,1414.6,1242.8,829.6,564.0,1145.4,0
TEAM VISION,Dukalis,1251.7,468.8,265.2,263.7,140.6,0.0,1719.9,764.4,514.8,310.2,2021.7,0
Team Falcons,Sneyking,1410.6,137.9,328.4,1137.5,454.9,227.5,1190.6,1928.3,1128.7,555.7,999.6,0
Team Liquid,tOfu,1373.3,83.7,320.4,1192.9,351.5,276.3,1061.4,1197.0,685.3,352.5,1004.6,0
Team Resilience,zzq,1256.1,146.5,129.8,933.9,219.7,0.0,1447.9,845.2,702.0,423.0,1300.2,0
Team Spirit,rue,1272.3,167.4,484.8,1004.6,251.1,138.1,802.3,1795.5,668.6,352.5,1025.5,0
Team Yandex,Maladych,1222.1,206.8,313.6,310.2,289.5,113.8,908.5,994.4,550.6,381.5,861.8,0
Vici Gaming,y`,1463.8,167.4,359.3,690.6,301.3,138.1,1838.6,1974.0,417.9,342.4,1506.9,0
Xtreme Gaming,xNova,1234.6,0.0,325.7,319.6,191.7,351.6,1510.4,1643.7,659.5,410.2,1172.0,0
