team,player,Tower Kills,Creep Score,Death,Madstone,GPM,Kills,Teamfight,Roshan Kills,Stuns,Tormentor Kills,Courier Kills,First Blood,OBS Wards Planted,Watcher Taken,Camps Stacked,Runes Grabbed,Smokes Used,Lotuses Gained
Aurora Gaming,Mikoto,276.6,1159.9,1197.9,149.5,1245.3,856.0,1504.8,334.9,421.4,690.6,100.4,414.4,250.7,231.0,367.7,1450.3,0.0,0
BoomBoys,gpk~,452.6,1405.9,1337.1,202.4,1230.1,787.2,1507.0,418.6,471.4,816.2,351.5,0.0,208.9,168.0,702.0,1379.8,0.0,0
GamerLegion,RCY,452.6,1259.1,1351.1,117.9,1240.6,794.9,1520.5,334.9,490.5,125.6,150.6,138.1,192.2,189.0,384.4,1067.6,0.0,0
HULIGANI,Mirage`雨,211.2,1284.3,1072.5,171.6,1126.0,513.6,1472.4,468.8,489.6,527.4,70.3,0.0,210.6,191.1,374.4,1410.0,205.1,0
Iron Wing,bzm,396.0,1309.3,1170.0,130.0,1308.9,802.5,1508.8,366.2,489.3,549.4,87.9,0.0,168.2,459.4,672.8,1762.5,0.0,0
LGD Gaming,Topson,660.0,1566.4,1048.1,162.5,1305.2,782.4,1501.8,732.5,505.6,988.9,175.8,120.9,153.6,229.7,380.2,1788.9,36.6,0
Nigma Galaxy ,lorenof,880.0,1912.5,1228.5,230.1,1540.6,1251.9,1603.1,1054.8,455.6,175.8,210.9,193.4,175.5,29.4,468.0,1762.5,0.0,0
OG,Yopaj-,128.0,1193.7,1116.8,160.7,1079.5,622.5,1397.3,213.1,534.9,639.3,0.0,0.0,244.6,200.5,489.3,1358.7,106.5,0
TEAM VISION,No[o]ne-,246.4,1363.5,1131.0,166.4,1274.2,995.1,1444.5,351.6,421.6,263.7,70.3,0.0,163.8,764.4,444.6,1861.2,0.0,0
Team Falcons,Malr1ne,704.0,1410.0,1181.5,172.8,1315.4,963.0,1455.0,482.6,312.8,982.4,206.8,455.1,192.7,319.9,536.8,1393.4,34.5,0
Team Liquid,Nisha,301.7,1162.5,1267.5,128.1,1238.9,970.6,1560.4,83.7,435.6,753.4,150.6,0.0,150.4,367.5,618.4,1681.9,0.0,0
Team Resilience,Echozz,352.0,1167.9,1096.9,151.9,1161.8,775.8,1556.8,219.8,747.9,659.2,219.7,0.0,168.2,514.5,394.9,1410.0,18.3,0
Team Spirit,Larl,251.4,1241.4,849.6,133.7,1175.4,825.4,1450.3,334.9,504.5,1130.1,50.2,138.1,83.6,514.5,250.7,1480.5,20.9,0
Team Yandex,CHIRA_JUNIOR,310.6,1036.9,1147.1,122.4,1133.8,761.6,1397.1,206.8,369.2,258.5,206.8,113.8,192.7,233.5,371.6,870.9,17.2,0
Vici Gaming,Xm,125.7,1456.7,1030.7,193.1,1189.0,473.9,1594.4,251.1,303.2,502.3,200.9,276.3,208.9,525.0,284.1,1299.2,0.0,0
Xtreme Gaming,NothingToSay,192.0,1093.4,1134.5,137.1,1071.1,593.4,1416.0,213.1,320.5,319.6,191.7,0.0,148.9,334.1,553.1,1051.1,26.6,0
