team,player,Tower Kills,Creep Score,Death,Madstone,GPM,Kills,Teamfight,Roshan Kills,Stuns,Tormentor Kills,Courier Kills,First Blood
Aurora Gaming,Ws`,377.1,1194.0,1170.0,191.3,1283.0,718.4,1339.1,502.3,498.6,565.1,150.6,0.0
BoomBoys,MieRo,352.0,1122.4,1086.4,194.1,1123.6,496.8,1425.1,83.7,646.9,690.6,0.0,0.0
GamerLegion,Fayde,528.0,1210.1,1128.2,191.3,1110.3,450.9,1197.1,334.9,487.4,313.9,251.1,138.1
HULIGANI,Corrupted,352.0,1203.6,916.5,193.7,1095.8,203.3,1221.5,117.2,489.3,439.5,140.6,0.0
Iron Wing,33,352.0,1269.2,1133.4,245.4,1254.6,635.3,1315.2,219.8,189.2,659.2,175.8,725.2
LGD Gaming,Wisper,462.0,1842.2,975.0,272.2,1412.5,762.4,1433.9,293.0,434.3,879.0,219.7,241.8
Nigma Galaxy ,Davai,387.2,1446.0,838.5,178.1,1274.0,642.0,1426.0,586.0,252.5,351.6,351.5,193.4
OG,Raven,384.0,1042.9,850.9,144.2,1001.3,408.5,1343.5,106.5,218.6,799.1,383.5,703.3
TEAM VISION,Noticed,246.4,1490.1,1365.0,213.2,1320.8,417.3,1426.1,234.4,287.8,175.8,210.9,0.0
Team Falcons,AMMAR_THE_F,186.4,1630.6,871.8,250.8,1365.6,654.6,1296.3,413.6,355.6,775.6,248.1,113.8
Team Liquid,Ace ♠,326.9,1164.4,1197.9,190.4,1152.4,580.9,1237.1,251.1,575.8,1255.7,150.6,276.3
Team Resilience,niu,176.0,1047.9,840.9,155.2,1086.9,642.0,1362.4,366.2,553.3,879.0,43.9,362.6
Team Spirit,Collapse,276.6,1145.1,1072.5,196.9,1171.1,535.0,1285.2,251.1,797.4,1130.1,301.3,138.1
Team Yandex,DM,227.8,1077.7,1158.5,166.7,1201.4,428.0,1272.4,275.8,343.6,258.5,248.1,227.5
Vici Gaming,Bach,427.4,1220.4,988.9,143.0,1083.9,298.1,1321.2,83.7,336.8,565.1,150.6,138.1
Xtreme Gaming,Xxs,288.0,1351.6,1187.7,228.1,1172.5,486.4,1398.1,213.1,502.8,159.8,63.9,0.0
