team,player,Teamfight,Roshan Kills,Stuns,Tormentor Kills,Courier Kills,First Blood,OBS Wards Planted,Watcher Taken,Camps Stacked,Runes Grabbed,Smokes Used,Lotuses Gained
Aurora Gaming,Mira,1457.2,83.7,594.9,753.4,652.8,276.3,1011.2,1470.0,1069.7,594.2,920.9,0
BoomBoys,Save-,1466.7,0.0,493.1,627.9,251.1,138.1,676.9,987.0,752.1,342.4,1192.9,0
GamerLegion,Bignum,1343.8,0.0,802.7,125.6,200.9,138.1,1261.9,1092.0,451.3,634.5,1255.7,0
HULIGANI,sayuw,1515.3,0.0,568.3,439.5,492.1,0.0,760.5,1102.5,655.2,380.7,820.4,0
Iron Wing,Ari,1371.6,73.2,865.7,549.4,219.7,362.6,628.9,808.5,1184.6,423.0,677.6,0
LGD Gaming,Thiolicor,1418.9,146.5,1019.4,933.9,1318.1,241.8,702.0,3105.4,1389.4,713.8,897.3,0
Nigma Galaxy ,OmaR,1543.3,234.4,850.1,439.5,913.9,193.4,1766.7,1866.9,561.6,535.8,1552.9,0
OG,TIMS,1486.9,106.5,636.5,719.2,63.9,527.5,819.0,1643.7,914.7,487.1,879.0,0
TEAM VISION,9Class,1314.2,117.2,794.1,175.8,632.7,580.2,819.0,1690.5,842.4,564.0,322.3,0
Team Falcons,Cr1t-,1323.0,137.9,597.4,982.4,372.2,0.0,1204.4,613.9,1431.5,439.6,1309.9,0
Team Liquid,Boxi,1368.3,251.1,351.9,1255.7,652.8,414.4,1094.8,1123.5,685.3,362.6,941.8,0
Team Resilience,planet,1533.2,0.0,418.5,879.0,439.4,241.8,804.4,1690.5,1023.8,352.5,695.9,0
Team Spirit,not_me,1351.8,167.4,729.1,1004.6,351.5,414.4,1495.9,483.0,1387.3,362.6,1046.4,0
Team Yandex,Saksa,1430.0,0.0,345.6,155.1,1033.8,113.8,1080.5,1599.7,1032.4,779.6,844.5,0
Vici Gaming,XinQ,1403.1,251.1,711.7,502.3,100.4,276.3,543.2,1155.0,735.4,342.4,795.3,0
Xtreme Gaming,fy,1568.8,213.1,722.9,319.6,255.6,351.6,712.6,1523.5,914.7,423.0,692.5,0
